Region,Fecha,Comuna,Poblacion,Poblacion_region,Nuevos_región_por_100.000,Cuarentena,Activos_Por_100.000,Activos_5_por_100.000
Arica y Parinacota,2020-04-13,Arica,247552,252110,0,Sin,35.54808686659772,28.142235436056534
Arica y Parinacota,2020-04-14,Arica,247552,252110,1.9832612748403475,Sin,33.93226473629783,27.199672526714924
Arica y Parinacota,2020-04-15,Arica,247552,252110,1.586609019872278,Sin,32.316442605997935,26.25710961737332
Arica y Parinacota,2020-04-16,Arica,247552,252110,1.9832612748403475,Sin,30.70062047569803,27.46897621509824
Arica y Parinacota,2020-04-17,Arica,247552,252110,1.9832612748403475,Total,29.084798345398138,28.680842812823165
Arica y Parinacota,2020-04-18,Arica,247552,252110,3.173218039744556,Total,28.142235436056534,29.89270941054809
Arica y Parinacota,2020-04-19,Arica,247552,252110,1.1899567649042084,Total,27.199672526714924,31.104576008273007
Arica y Parinacota,2020-04-20,Arica,247552,252110,6.346436079489112,Total,26.25710961737332,34.605523957256125
Arica y Parinacota,2020-04-21,Arica,247552,252110,3.5698702947126257,Total,27.46897621509824,38.10647190623923
Arica y Parinacota,2020-04-22,Arica,247552,252110,3.966522549680695,Total,28.680842812823165,41.60741985522234
Arica y Parinacota,2020-04-23,Arica,247552,252110,11.899567649042085,Total,29.89270941054809,41.809397621509824
Arica y Parinacota,2020-04-24,Arica,247552,252110,11.502915394074016,Total,31.104576008273007,42.011375387797315
Arica y Parinacota,2020-04-25,Arica,247552,252110,2.379913529808417,Total,34.605523957256125,42.2133531540848
Arica y Parinacota,2020-04-26,Arica,247552,252110,2.7765657847764866,Total,38.10647190623923,42.41533092037229
Arica y Parinacota,2020-04-27,Arica,247552,252110,5.156479314584904,Total,41.60741985522234,39.99159772492244
Arica y Parinacota,2020-04-28,Arica,247552,252110,1.1899567649042084,Total,41.809397621509824,37.567864529472594
Arica y Parinacota,2020-04-29,Arica,247552,252110,1.586609019872278,Total,42.011375387797315,35.14413133402275
Arica y Parinacota,2020-04-30,Arica,247552,252110,2.7765657847764866,Total,42.2133531540848,32.51842037228542
Arica y Parinacota,2020-05-01,Arica,247552,252110,7.1397405894252515,Total,42.41533092037229,29.89270941054809
Arica y Parinacota,2020-05-02,Arica,247552,252110,3.966522549680695,Total,39.99159772492244,27.266998448810753
Arica y Parinacota,2020-05-03,Arica,247552,252110,0.3966522549680695,Total,37.567864529472594,24.641287487073424
Arica y Parinacota,2020-05-04,Arica,247552,252110,0,Total,35.14413133402275,25.31454670803171
Arica y Parinacota,2020-05-05,Arica,247552,252110,2.7765657847764866,Total,32.51842037228542,25.987805928990003
Arica y Parinacota,2020-05-06,Arica,247552,252110,1.1899567649042084,Total,29.89270941054809,26.661065149948293
Arica y Parinacota,2020-05-07,Arica,247552,252110,2.7765657847764866,Total,27.266998448810753,24.944254136504654
Arica y Parinacota,2020-05-08,Arica,247552,252110,0.793304509936139,Total,24.641287487073424,23.227443123061015
Arica y Parinacota,2020-05-09,Arica,247552,252110,3.966522549680695,Total,25.31454670803171,21.510632109617372
Arica y Parinacota,2020-04-13,Camarones,1233,252110,0,Sin,0,0
Arica y Parinacota,2020-04-14,Camarones,1233,252110,1.9832612748403475,Sin,0,0
Arica y Parinacota,2020-04-15,Camarones,1233,252110,1.586609019872278,Sin,0,0
Arica y Parinacota,2020-04-16,Camarones,1233,252110,1.9832612748403475,Sin,0,0
Arica y Parinacota,2020-04-17,Camarones,1233,252110,1.9832612748403475,Sin,0,0
Arica y Parinacota,2020-04-18,Camarones,1233,252110,3.173218039744556,Sin,0,0
Arica y Parinacota,2020-04-19,Camarones,1233,252110,1.1899567649042084,Sin,0,0
Arica y Parinacota,2020-04-20,Camarones,1233,252110,6.346436079489112,Sin,0,0
Arica y Parinacota,2020-04-21,Camarones,1233,252110,3.5698702947126257,Sin,0,0
Arica y Parinacota,2020-04-22,Camarones,1233,252110,3.966522549680695,Sin,0,0
Arica y Parinacota,2020-04-23,Camarones,1233,252110,11.899567649042085,Sin,0,0
Arica y Parinacota,2020-04-24,Camarones,1233,252110,11.502915394074016,Sin,0,0
Arica y Parinacota,2020-04-25,Camarones,1233,252110,2.379913529808417,Sin,0,0
Arica y Parinacota,2020-04-26,Camarones,1233,252110,2.7765657847764866,Sin,0,0
Arica y Parinacota,2020-04-27,Camarones,1233,252110,5.156479314584904,Sin,0,0
Arica y Parinacota,2020-04-28,Camarones,1233,252110,1.1899567649042084,Sin,0,0
Arica y Parinacota,2020-04-29,Camarones,1233,252110,1.586609019872278,Sin,0,0
Arica y Parinacota,2020-04-30,Camarones,1233,252110,2.7765657847764866,Sin,0,0
Arica y Parinacota,2020-05-01,Camarones,1233,252110,7.1397405894252515,Sin,0,0
Arica y Parinacota,2020-05-02,Camarones,1233,252110,3.966522549680695,Sin,0,0
Arica y Parinacota,2020-05-03,Camarones,1233,252110,0.3966522549680695,Sin,0,0
Arica y Parinacota,2020-05-04,Camarones,1233,252110,0,Sin,0,0
Arica y Parinacota,2020-05-05,Camarones,1233,252110,2.7765657847764866,Sin,0,0
Arica y Parinacota,2020-05-06,Camarones,1233,252110,1.1899567649042084,Sin,0,0
Arica y Parinacota,2020-05-07,Camarones,1233,252110,2.7765657847764866,Sin,0,0
